id,image,city,name,description
1,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU01.jpg,dausa,chand baori(stepwell)- abhaneri,"abhaneri 88 kms from jaipur on the jaipur-agra road is another attraction of dausa, it is believed to be established by raja chandra. originally named as abha nagri which means the city of brightness due to mispronunciation it is now called as abhaneri. the department of tourism hosts a wonderful two-day &ldquo;abhaneri festival&rdquo; promoting heritage tourism in the area. cultural performances and village camel safari are the main attractions of the festival.
one of the popular places to visit in abhaneri is the chand baori (stepwell). built back in the eighth century, it is one of the deepest and largest step wells in india. the phenomenal structure is 19.5 meters in depth and features 1000 narrow steps, spanning 13 storeys."
2,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU02.jpg,dausa,harshat mata temple - abhaneri,"located 33 kms from dausa adjacent to the chand baori is a temple dedicated to harshat mata &ndash; the goddess of joy and happiness. as per the legends, the goddess is always cheerful and showers the people with blessings of joy and happiness. its magnificent architecture and sculptural styles are a delight for the eyes!"
3,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU03.jpg,dausa,jhajhirampura,"jhajhirampura is famous for its natural water tank as well as the temples of rudra (shiv), balaji (hanuman), and other gods and goddesses. it is situated around 45 km away from the district headquarters, towards baswa (bandikui). surrounded by hills and water resources, this place has natural and spiritual glory."
4,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU04.jpg,dausa,bhandarej,"bhandarej is located about 65 km from jaipur, on the jaipur-agra highway, and about 10 km from dausa. bhandarej, during mahabharata times, was known as bhadrawati. the walls, sculptures, decorative lattice work jaalis, terracotta utensils, etc., found in excavations, speak volumes about the ancient splendor of this place. the bhandarej baori (step-well) and bhadrawati palace are popular places to visit,and are fine examples of the grand history of the region. its history can be traced back to the 11 th century, when the kachhawaha chieftan dulha rai defeated the bargujars and conquered bhandarej. the region is also famous for carpet making."
5,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU05.jpg,dausa,lotwara,"the village of lotwara is located 110 km from jaipur. the biggest attraction of this village is the lotwara garh(fort), which was built by thakur ganga singh in the 17 th century, as well as the large population of peacocks in the village.

how to reach lotwara?
located just 11 km from abhaneri, the best way to reach the village is by road."
6,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/DAU06.jpg,dausa,bandikui,"the roman style church for protestant christians is a popular attraction in bandukui, located about 35 km from dausa."
7,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/531.jpg,dholpur,city palace,"also known as the dholpur palace, the city palace is an opulent structure that seamlessly blends ancient heritage and elegant architecture. once home to the royal family, this palace was built from red sand stone which illustrates the history, splendour and grandeur of the city. with the fierce chambal ravines on its south-eastern end and the beautiful city of agra at its north-west, the city palace transports visitors back to the royal era with its impressiveness and mesmerising surroundings."
8,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/532.jpg,dholpur,royal stepwell,"constructed between 1873 -1880, this royal stepwell or &lsquo;baori&rsquo; is situated behind the nihaleshwar temple in city. this four storied building has beautiful artistic pillars and carved stones."
9,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/533.jpg,dholpur,nihal tower,"situated at the town hall road and locally known as ghanta ghar, this 150-feet high tower was started by raja nihal singh in the year 1880, and completed around the year 1910 by raja ram singh. the foot of this tower is covered with 12 equal-sized gates and covers an area of around 120 feet."
10,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/534.jpg,dholpur,shiv temple aka chausath yogini temple,"one of the oldest shiv temples in dholpur, the chopra shiv temple was built in the 19th century. the month of march witnesses a large number of devotees and pilgrims here on the occasion of mahashivratri. additionally, the temple is thronged with devotees who come to pray every monday, since it is considered to be the day of lord shiva. this ancient temple is also very famous for its mesmerising architecture."
